CRASSULACEAE|Cotyledon orbiculata |Cotyledon orbiculata L. var. orbiculata|LC|No||Perennial|Shrub, succulent|1|1.45|50|1800|EC, FSA, N, NC, SA, WC
CRASSULACEAE|Cotyledon velutina |Cotyledon velutina Hook.f.|LC|No||Perennial|Shrub, succulent|0|2|0|900|EC, FSA, KZN, SA
CRASSULACEAE|Crassula cultrata|Crassula cultrata L.|LC|No||Perennial|Shrub, succulent|0|0.8|50|1600|EC, FSA, KZN, SA
CRASSULACEAE|Crassula ovata |Crassula ovata (Mill.) Druce|LC|No||Perennial|Shrub, succulent|1|2.5|50|1800|EC, FSA, KZN, SA
CRASSULACEAE|Crassula pubescens |Crassula pubescens Thunb. subsp. pubescens|LC|No||Perennial|Dwarf shrub, succulent|0|0.3|20|2000|EC, FSA, SA, WC
CORNACEAE|Curtisia dentata |Curtisia dentata (Burm.f.) C.A.Sm.|NT|No||Perennial|Shrub, tree|2|20|60|3050|EC, FSA, KZN, LIM, M, S, SA, WC
CONVOLVULACEAE|Cuscuta campestris |Cuscuta campestris Yunck.|Not Evaluated|No||Annual|Herb, parasite|0.01|0.2|85|2125|B, EC, FS, FSA, G, KZN, L, LIM, M, NC, NW, S, SA, WC
ARALIACEAE|Cussonia paniculata |Cussonia paniculata Eckl. & Zeyh. subsp. paniculata|LC|No||Perennial|Succulent, tree|1|4|300|2000|EC, FSA, KZN, NC, SA, WC
ARALIACEAE|Cussonia spicata|Cussonia spicata Thunb.|LC|No||Perennial|Succulent, tree|3|17|5|1800|EC, FSA, G, KZN, L, LIM, M, NW, S, SA, WC
COMMELINACEAE|Cyanotis speciosa|Cyanotis speciosa (L.f.) Hassk.|LC|No||Perennial|Herb, succulent|0.1|1.35|10|2316|B, EC, FS, FSA, KZN, L, LIM, M, N, NC, NW, S, SA, WC
POACEAE|Cymbopogon plurinodis |Cymbopogon plurinodis (Stapf) Stapf ex Burtt Davy||No| Cymbopogon pospischilii|Perennial|Graminoid|0.11|1|15|2440|B, FS, FSA, KZN, L, N, S, SA
POACEAE|Cymbopogon pospischilii |Cymbopogon pospischilii (K.Schum.) C.E.Hubb.|Not Evaluated|No||Perennial|Graminoid|0|1|15|2440|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
POACEAE|Cymbopogon prolixus |Cymbopogon prolixus (Stapf) E.Phillips|LC|No||Perennial|Graminoid|0|1.2|20|2200|EC, FS, FSA, KZN, L, M, NC, NW, SA, WC
POACEAE|Cynodon dactylon|Cynodon dactylon (L.) Pers.|LC|No||Perennial|Graminoid|0.05|0.34|1|2000|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
POACEAE|Cynodon incompletus|Cynodon incompletus Nees|LC|No||Perennial|Graminoid|0.05|0.3|100|2000|EC, FS, FSA, NC, NW, SA, WC
CYPERACEAE|Cyperus albostriatus |Cyperus albostriatus Schrad.|LC|No||Perennial|Cyperoid, herb, mesophyte|0.17|0.75|5|2130|EC, FSA, G, KZN, L, LIM, M, NW, S, SA
CYPERACEAE|Cyperus owanii|Cyperus owanii Boeckeler|LC|No||Perennial|Cyperoid, herb, mesophyte|0|2.79|700|1800|EC, FSA, KZN, LIM, M, SA
CYPERACEAE|Cyperus pulcher |Cyperus pulcher Thunb.|LC|No||Perennial|Cyperoid, helophyte, herb, mesophyte|0.3|0.75|365|1250|EC, FSA, KZN, SA
CYPERACEAE|Cyperus rubicundus |Cyperus rubicundus Vahl|LC|No||Annual (occ. perennial)|Cyperoid, herb, mesophyte|0.01|0.2|60|1400|EC, FSA, G, KZN, LIM, M, N, NW, S, SA
CYPERACEAE|Cyperus semitrifidus |Cyperus semitrifidus Schrad.|LC|No||Perennial|Cyperoid, herb, mesophyte|0.05|0.25|90|2700|EC, FS, FSA, G, KZN, L, LIM, M, NW, S, SA
VITACEAE|Cyphostemma quinatum |Cyphostemma quinatum (Dryand.) Desc. ex Wild & R.B.Drumm.|LC|No||Perennial|Climber, succulent|0|0|320|1000|EC, FSA, KZN, SA
AMARYLLIDACEAE|Cyrtanthus smithiae |Cyrtanthus smithiae Watt ex Harv.|LC|No||Perennial|Geophyte|0.15|0.3|0|300|EC, FSA, SA
DRYOPTERIDACEAE|Cyrtomium pseudocaryotideum |Cyrtomium pseudocaryotideum J.P.Roux||No||[No lifecycle defined]|[No lifeform defined]|0|0|0|0|EC, FSA, KZN, M, SA
WOODSIACEAE|Cystopteris fragilis |Cystopteris fragilis (L.) Bernh. subsp. fragilis|LC|No||Perennial|Geophyte, herb|0.1|0.18|1000|2500|EC, FS, FSA, KZN, L, LIM, M, SA, WC
SCROPHULARIACEAE|Diascia rigescens |Diascia rigescens E.Mey. ex Benth.|LC|No||Perennial|Herb|0.3|1.29|305|1675|EC, FSA, KZN, SA
CONVOLVULACEAE|Dichondra miricantha|Dichondra miricantha||||Perennial|Creeper|||||Exotic
POACEAE|Digitaria eriantha |Digitaria eriantha Steud.|LC|No||Perennial|Graminoid|0|1.39|5|2440|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
POACEAE|Digitaria sanguinalis |Digitaria sanguinalis (L.) Scop.|Not Evaluated|No||Annual|Graminoid|0.2|0.6|5|2200|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, SA, WC
DIOSCOREACEAE|Dioscorea sylvatica |Dioscorea sylvatica Eckl.|VU|No| Dioscorea sylvatica var. brevipes, Dioscorea sylvatica var. multiflora, Dioscorea sylvatica var. paniculata, Dioscorea sylvatica var. rehmannii, Dioscorea sylvatica var. sylvatica|[No lifecycle defined]|[No lifeform defined]|0|0|0|0|[No distribution defined]
EBENACEAE|Diospyros dichrophylla |Diospyros dichrophylla (Gand.) De Winter|LC|No||Perennial|Shrub, tree|1|13|10|1500|EC, FSA, KZN, LIM, S, SA, WC
EBENACEAE|Diospyros lycioides |Diospyros lycioides Desf. subsp. lycioides|LC|No||Perennial|Shrub|0.6|7|30|2700|B, EC, FS, FSA, G, L, LIM, M, N, NC, NW, SA, WC
ORCHIDACEAE|Disa crassicornis |Disa crassicornis Lindl.|LC|No||Perennial|Geophyte, herb|0.4|1.14|1000|2700|EC, FSA, KZN, L, SA
ORCHIDACEAE|Disa versicolor |Disa versicolor Rchb.f.|LC|No||Perennial|Geophyte, herb|0.2|0.69|0|2400|EC, FS, FSA, G, KZN, L, LIM, M, S, SA
